lafz	aeraab	zaban	maani_en
انطاکیہ	أَنْطَاكِيَة	عربی	Antioch, Antioch on the Orontes (ancient Greek city on the Orontes River, in mod
علیہ السلام	عَلَيْهِ ٱلسَّلَامُ	عربی	peace be upon him; a eulogy used after mentioning the names of holy persons
اعتدال	اِعْتِدَال	عربی	moderation; mildness
اصطبل	إِصْطَبْل	عربی	stable, stall (building where horses or the like are kept)
عروسہ	عَرُوسَة	عربی	bride
علیہ الصلاۃ والسلام	عَلَيْهِ ٱلصَّلَاةُ وَ ٱلسَّلَامُ	عربی	blessings and peace be upon him; a eulogy used after mentioning the names of hol
مزید	مَزِيد	عربی	more, an extra amount or extent
اسبغول	إِسْبَغُول	عربی	psyllium
افیون	أَفْيُون	عربی	opium
خانقاہ	خَانَقَاه	عربی	khanaqah
ساحلی	سَاحِلِيّ	عربی	coastal
الوداع	الوَدَاع	عربی	farewell, adieu, goodbye
مختصر	مُخْتَصَر	عربی	brief
ادبیات	أَدَبِيَّات	عربی	literature
کنایہ	كِنَايَة	عربی	indirect expression: metonymy, metaphor; allusion
جائز	جَائِز	عربی	permissible, possible, conceivable, permitted
خالد	خَالِد	عربی	immortal; glorious; eternal
ادیب	أَدِيب	عربی	cultured, refined, educated
انکار	إِنْكَار	عربی	refusal, denial
انتقال	اِنْتِقَال	عربی	transition, movement, transfer
حبشی	حَبَشِيّ	عربی	Ethiopian
متفرق	مُتَفَرِّق	عربی	scattered, sporadic, intermittent
صحافی	صِحَافِيّ	عربی	journalist
منیر	مُنِير	عربی	bright
حبش	حَبَش	عربی	only used in الْحَبَش (al-ḥabaš)
قرطبہ	قُرْطُبَة	عربی	Córdoba (the capital of the province of Córdoba, Andalusia, Spain)
اریج	أَرِيج	عربی	fragrance
نشور	نُشُور	عربی	resurrection
اشتیاق	اِشْتِيَاق	عربی	longing, desire
مقدونی	مَقْدُونِيّ	عربی	Macedonian
معیار	مِعْيَار	عربی	standard measure, standard, gauge (of measures and weights)
منتخب	مُنْتَخَب	عربی	elected candidate
یاسین	يَاسِين	عربی	a male given name, Yasin
نعمہ	نِعْمَة	عربی	blessing, grace, benefit
منصور	مَنْصُور	عربی	triumphant, victorious
قوق	قَوْق	عربی	cluck (sound made by hen)
معنوی	مَعْنَوِيّ	عربی	semantic
انیس	أَنِيس	عربی	close, intimate; close friend; friendly, kind, affable, civil, polite, courteous
نطرون	نَطْرُون	عربی	natron; soda
داغستان	دَاغِسْتَان	عربی	Dagestan (a republic and federal subject of Russia, located in the Caucasus regi
صائب	صَائِب	عربی	right, correct; pertinent, relevant
صلیبی	صَلِيبِيّ	عربی	crusader
مرتد	مُرْتَدّ	عربی	a murtadd, an apostate, a Muslim who turned infidel
حیران	حَيْرَان	عربی	perplexed, confounded, astonished
نبیل	نَبِيل	عربی	noble, of noble lineage, honored, celebrated
بسمہ	بَسْمَة	عربی	smile
نغمہ	نَغْمَة	عربی	melody, tone, sound
سخی	سَخِيّ	عربی	generous, kind
شبہہ	شُبْهَة	عربی	uncertainty, doubt, obscurity
قطعی	قَطْعِيّ	عربی	conclusive, final
نازل	نَازِل	عربی	descending, going down
غفار	غَفَّار	عربی	inclined to forgive, forgiving
قلندر	قَلَنْدَر	عربی	qalandar
سلجوقی	سَلْجُوقِيّ	عربی	Seljuk (of or related to Seljuk, his dynasty, their empire, or their period of r
سلجوق	سَلْجُوق	عربی	Seljuk (founder of the Seljuk dynasty)
قونیہ	قُونِيَة	عربی	Konya
اولا	أَوَّلًا	عربی	firstly
مدراس	مَدْرَاس	عربی	Chennai (a megacity, the capital of Tamil Nadu, India)
محترم	مُحْتَرَم	عربی	honorable, respectable, esteemed
مصنف	مُصَنِّف	عربی	composer, compiler, author
معبود	مَعْبُود	عربی	worshipped, adored
ناظم	نَاظِم	عربی	manager, organizer
اسلام آباد	إِسْلَام آباد	عربی	Islamabad (the capital city of Pakistan)
مخلوط	مَخْلُوط	عربی	mixed
استعفا	اِسْتِعْفَاء	عربی	resignation
اضافی	إِضَافِيّ	عربی	additional
معاہدہ	مُعَاهَدَة	عربی	treaty
ہوائی	هَوَائِيّ	عربی	aerial, pneumatic
اختیاری	اِخْتِيَارِيّ	عربی	optional, voluntary
مستحق	مُسْتَحِقّ	عربی	worthy, deserving, meritorious
ابلق	أَبْلَق	عربی	piebald, ablaq
مبین	مُبِين	عربی	clear, distinct, plain, blatant
جبیل	جُبَيْل	عربی	Byblos (a port city in Keserwan-Jbeil Governorate, Lebanon)
انطلیاس	أَنْطِلْيَاس	عربی	Antilyas (a city in Mount Lebanon Governorate, Lebanon)
قوطی	قُوطِيّ	عربی	related to Goths or Gothicism
مظفر	مُظَفِّر	عربی	victorious, triumphant
محیی الدین	مُحْيِي الدِّين	عربی	a male given name, Muhyi'd-Din, meaning “Renewer of the Faith”
مرعش	مَرْعَش	عربی	Mar'ash
ترکستان	تُرْكِسْتَان	عربی	Turkestan
غدار	غَدَّار	عربی	treacherous
وبا	وَبَاء	عربی	epidemic
تغافل	تَغَافَلَ	عربی	to feign negligence
مرثیہ	مَرْثِيَة	عربی	elegy, lament
یقینا	يَقِينًا	عربی	certainly, surely, for sure, assuredly, for certain, for a fact
لوسیل	لُوسَيْل	عربی	Lusail (a city in Al Daayen, Qatar)
ضائع	ضَائِع	عربی	lost
صقلیہ	صِقِلِّيَّة	عربی	Sicily (the largest island in the Mediterranean Sea, an autonomous region of Ita
اویغورستان	أُويْغُورِسْتَان	عربی	Uyghuristan
مولود	مَوْلُود	عربی	born
بیلاروس	بِيلَارُوس	عربی	synonym of بِيلَارُوسِيَا (bīlārūsiyā): Belarus (a country in Europe)
برطانیہ	بِرِطَانِيَة	عربی	Britain (an island of Northern Europe), Britannia
ہفوۃ	هَفْوَة	عربی	an oversight, a slip, a slight mistake, a goof
مغلوط	مَغْلُوط	عربی	erroneous, incorrect, fallacious
معتمد	مُعْتَمَد	عربی	trustworthy, reliable, confidential, relied on
دہلی	دِهْلِي	عربی	Delhi (a megacity and union territory of India, containing the national capital 
اباضی	إِبَاضِيّ	عربی	Ibadi
منقطع	مُنْقَطِع	عربی	severed, cut off
قادیان	قَادِيَان	عربی	Qadian (a town in Gurdaspur district, Punjab, India)
محتسب	مُحْتَسِب	عربی	ombudsman, superintendent of weights and measures
لقمان	لُقْمَان	عربی	Luqman (a wise man mentioned in the Qur'an)
فوزیہ	فَوْزِيَّة	عربی	a female given name, Fawziyya, meaning “victorious, triumphant”, masculine equiv
فریال	فَرْيَال	عربی	a female given name, Faryal or Farial, from Persian, meaning “the one with a bea
جزاک اللہ	جَزَاكَ ٱللّٰهُ	عربی	thank you
ہمالیہ	هِمَالِيَة	عربی	Himalayas (a mountain range across the entire Indian subcontinent)
اشتہا	اِشْتِهَاء	عربی	appetite, craving
محسوس	مَحْسُوس	عربی	felt, sensed, perceived
عاصم	عَاصِم	عربی	protector
ناشر	نَاشِر	عربی	publisher
کلاشنکوف	كَلَاشِنْكُوف	عربی	Kalashnikov
داغستانی	دَاغِسْتَانِيّ	عربی	Daghistani
مستراح	مُسْتَرَاح	عربی	a place of comfort
اسطوخودوس	أُسْطُوخُودُوس	عربی	French lavender, Lavandula stoechas
فزان	فَزَّان	عربی	Fezzan (a region of Libya)
غرناطہ	غَرْنَاطَة	عربی	Granada (a city, the provincial capital of Granada province, Andalusia, Spain)
عاکف	عَاكِف	عربی	devoted to, focused
معصوم	مَعْصُوم	عربی	infallible, impeccable, immaculate (incapable of wrongdoing or sin)
انسداد	اِنْسِدَاد	عربی	blockage
وسیع	وَسِيع	عربی	wide, spacious
مقید	مُقَيَّد	عربی	restricted, constrained, bound
تعویذ	تَعْوِيذ	عربی	amulet, talisman
تیمم	تَيَمَّمَ	عربی	to perform tayammum (using sand or dust for purification before prayer when wate
ملبوس	مَلْبُوس	عربی	an article of clothing; a garment, what is worn (plural form is more common and 
تائید	تَأْيِيد	عربی	support, endorsement, approval
تراویح	تَرَاوِيح	عربی	tarawih (an extra prayer performed by Sunni Muslims at night in the month of Ram
مقیم	مُقِيم	عربی	resident, inhabitant
منال	مَنَال	عربی	achievement, attainment, obtaining
مشغلہ	مَشْغَلَة	عربی	occupation, vocation, pastime
مشکوک	مَشْكُوك	عربی	doubtful, doubted
مبشر	مُبَشِّر	عربی	bringing good news
سجدہ	سَجْدَة	عربی	prostration
اوقیانوس	أُوقْيَانُوس	عربی	ocean
بکتاش	بَكْتَاش	عربی	a male given name of historical usage
بکتاشی	بَكْتَاشِيّ	عربی	Bektashi
مجتبی	مُجْتَبًى	عربی	chosen
ابتلا	اِبْتِلَاء	عربی	affliction, trial
توقیر	تَوْقِير	عربی	respecting, honoring, treating with respect and deference
مشورہ	مَشُورَة	عربی	counsel, recommendation, suggestion, consultation, advice
وہاب	وَهَّاب	عربی	the Grantor, the Provider (of God)
سجاد	سَجَّاد	عربی	who performs Sujud a lot (prostration to God during prayer)
نیلوفر	نِيلَوْفَر	عربی	water lily; lotus
ساسانی	سَاسَانِيّ	عربی	Sasanian
ہخامنشی	هَخَامَنِشِيّ	عربی	Achaemenid
تشدد	تَشَدُّد	عربی	strictness, severity, harshness
من	مَن	فارسی	maund (unit of mass)
ترکی	تُرْکی	فارسی	Turkic or Turkish
نہ	نَه	فارسی	not
سلطان	سُلْطان	فارسی	sultan; king, ruler, sovereign
نماز	نَمَاز	فارسی	regular, prescribed prayer; (Islam) salat
قفس	قَفَس	فارسی	cage
شہر	شَهْر	فارسی	city, town
عجب	عَجَب	فارسی	what a wonder, how strange, amazing
خاموش	خَاموش	فارسی	quiet
خدا	خُدَا	فارسی	God (the singular divinity of monotheism)
بد	بَد	فارسی	bad; not good
کیف	کِیِف	فارسی	Kyiv (the capital city of Ukraine)
گربہ	گُرْبِه	فارسی	cat
اردن	اُرْدُن	فارسی	Jordan (a country in West Asia in the Middle East)
شبکہ	شَبَکِه	فارسی	network
قشنگ	قَشَنْگ	فارسی	beautiful
بادام	بَادَامْ	فارسی	almond
داخل	داخِل	فارسی	inside
زنگ	زَنگ	فارسی	bell
سن	سِنّ	فارسی	age
امریکا	آمْریکا	فارسی	America, the Americas (a supercontinent consisting of North America, Central Ame
اما	امّا	فارسی	but
اساسی	اَساسی	فارسی	fundamental
یاس	یَاس	فارسی	despair, hopelessness
تہ	تَه	فارسی	bottom
لازم	لازِم	فارسی	necessary
کمان	کَمان	فارسی	bow
یزدان	یَزْدان	فارسی	god
غمگین	غَمگین	فارسی	sad (of people)
تصمیم	تَصمیم	فارسی	decision, determination
مبارز	مُبارِز	فارسی	fighter; warrior; champion; martial hero
بستر	بَسْتَر	فارسی	bed; mattress
ستان	ـِستَان	فارسی	-istan, -estan, -stan
مجارستان	مَجارِستان	فارسی	Hungary (a country in Central Europe)
عربستان	عَرَبِسْتَان	فارسی	Arabia (a peninsula of West Asia between the Red Sea and the Persian Gulf; inclu
ترکستان	تُرْکِسْتَان	فارسی	Turkestan (the regions of Central Asia lying between Siberia to the north; Tibet
یتیم	یَتیم	فارسی	orphan
باتری	باتْری	فارسی	battery
ممکن	مُمکِن	فارسی	possible
سلاح	سِلاح	فارسی	weapon
جشن	جَشْن	فارسی	celebration, festival, feast
فرصت	فُرصَت	فارسی	opportunity, chance
فہم	فَهم	فارسی	understanding
اول	اَوَّل	فارسی	first, firstly
کار گاہ	کارْگاه	فارسی	workshop
دشمن	دُشْمَن	فارسی	enemy
الحمد للہ	الحمد للّٰه	فارسی	praise be to God, thank God, alhamdulillah; a common expression of gratitude, re
بیگناہ	بیگُناه	فارسی	innocent
ابن	اِبن	فارسی	ibn; a word meaning "son", used only in patronymic names and certain literary ex
ہرگز	هَرگِز	فارسی	ever
مشغول	مَشغول	فارسی	busy, occupied (in doing something, etc.)
مجبور	مَجبور	فارسی	compelled, obliged, forced
استقبال	اِستِقبال	فارسی	welcoming, reception, going out to meet
خالق	خالِق	فارسی	the Creator (God)
کولر	کولِر	فارسی	air-conditioner
طرف دار	طَرَفدار	فارسی	supporter, adherent, partisan
الف	اَلِف	فارسی	alif (the letter ا, the first letter of the Persian and Arabic abjads)
جماعت	جَماعَت	فارسی	congregation
اولی	اوّلی	فارسی	the former, the first
طبق	طَبَق	فارسی	plate, large dish, tray
بلا	بَلا	فارسی	affliction
کرشن	کرِشن	فارسی	Krishna (Hindu god)
تقویم	تَقویم	فارسی	calendar
سفارش	سِفارِش	فارسی	recommendation
وصل	وَصل	فارسی	union, connection, joining
زینہ	زِینَه	فارسی	ladder, step, stair
خشت	خِشْت	فارسی	adobe, sun-dried brick
تربوز	تَربوز	فارسی	Dari standard spelling of تربز ("watermelon").
طبیعت	طَبیعَت	فارسی	nature; temperament; disposition; character
مذہبی	مَذهَبی	فارسی	religious
آخرت	آخِرَت	فارسی	akhirah, afterlife
فارغ	فارِغ	فارسی	unencumbered, unburdened, free, unconcerned with
مخالف	مُخالِف	فارسی	opponent, adversary
حشرہ	حَشَرِه	فارسی	insect
پاکستانی	پاکِستانی	فارسی	Pakistani
الجزائر	اَلجَزایِر	فارسی	Algeria (a country in North Africa)
اولا	اولاً	فارسی	firstly, first of all (mainly in sequences and enumerations)
برابر	بَرابَر	فارسی	equal
تشکیل	تَشکیل	فارسی	formation; foundation, establishment
محنت	مِحْنَت	فارسی	tribulation, toil, hardship
عرض	عَرض	فارسی	request, petition
عام	عامّ	فارسی	common
تاتارستان	تَاتَارِسْتَان	فارسی	Tatarstan (a republic and federal subject of south-central Russia)
ماہر	ماهِر	فارسی	skilled, skillful, proficient, adept
قافلہ	قافِلِه	فارسی	convoy; caravan
افزائش	اَفزایِش	فارسی	increase, augmentation, rise
حکیم	حَکیم	فارسی	sage, wise man
بعض	بَعْض	فارسی	some, certain, few, several
دفاع	دِفاع	فارسی	defence/defense
سکہ	سِکّه	فارسی	coin
حملہ	حَمْله	فارسی	attack
عبداللہ	عَبْدُاللّٰه	فارسی	a male given name, Abdollah, from Arabic, meaning “slave of God, servant of God”
محور	مِحوَر	فارسی	axis
خصوصا	خُصُوصًا	فارسی	especially, particularly
مناسب	مُناسِب	فارسی	appropriate, suitable, proper, adequate
رحمن	رَحمٰن	فارسی	merciful, all-merciful, most merciful; used only of God.
خلاف	خِلَاف	فارسی	contrary; opposed; opposite
خدمت	خِدمَت	فارسی	service
درویش	دَرْویش	فارسی	poor, needy
پیسہ	پَیسَه	فارسی	money, cash
فارغ التحصیل	فارِغُالتَّحْصیل	فارسی	graduate (person who is recognized by a university as having completed the requi
درد ناک	دَردناک	فارسی	painful, sore, aching
دہلی	دِهْلِی	فارسی	Delhi (a megacity and union territory of India, containing the national capital 
قہر	قَهْر	فارسی	anger
مہارت	مَهارَت	فارسی	skill; know-how
ای میل	ایمِیل	فارسی	e-mail, email
سکا	سَکا	فارسی	Scyth, Scythian (person from Scythia)
وزیر اعظم	وَزیرِ اَعظَم	فارسی	prime minister (political figure)
کتاب مقدس	کِتابِ مُقَدَّس	فارسی	the Bible
فرخ	فَرُّخ	فارسی	auspicious, fortunate
مشق	مَشْق	فارسی	exercise, drill, homework
مشعل	مَشْعَل	فارسی	torch (of wood)
معنوی	مَعنَوی	فارسی	semantic
عفریت	عِفْرِیت	فارسی	ifrit.
تاجکستان	تاجِکِسْتان	فارسی	Tajikistan (a country in Central Asia)
متوجہ	مُتِوَجِّه	فارسی	careful; mindful; attentive
حیدر آباد	حَیْدَرآبَاد	فارسی	Hyderabad :
مظفر آباد	مُظَفَّرآبَاد	فارسی	Muzaffarabad (a city, the capital of the autonomous territory of Azad Kashmir, P
معذور	مَعْذور	فارسی	excusable; exempt
مطلقا	مطلقاً	فارسی	absolutely
پسند	پَسَند	فارسی	like
مدعو	مَدْعُو	فارسی	invited
لغوی	لُغَوی	فارسی	lexical, verbal
غالبا	غالباً	فارسی	mostly
کولمبیا	کولَمْبِیَا	فارسی	Colombia (a country in South America)
تربیت	تَربِیَت	فارسی	education; training
پالم	پَالَم	فارسی	Palam (a neighborhood of South West Delhi district, Delhi, India)
پنسل	پِنْسِل	فارسی	pencil
ہرجائی	هَرْجَائِی	فارسی	vagrant, wandering, itinerant
خود غرض	خْوَدْ غرَض	فارسی	selfish, self-centered
غیرت مند	غیرَت مَند	فارسی	self-respecting, one with sense of honour
تپ دق	تَپِ دِق	فارسی	hectic fever, chronic fever
